Title,PositiveReview,NegativeReview,Score,GuestCountry,RoomType,NumberOfNights,VisitDate,GroupType,PropertyResponse,CharacterLenTitle,CharacterLenPropertyResponse,CharacterLenPositive,CharacterLenNegative,Score2,PropertyResponseYesOrNo,CLT_bins,CLP_bins,CLN_bins
Average hotel for a 1-2 nights stay at best.,We wanted a hotel for a night that is close to the airport and this hotel did that purpose more than fair. There are some restaurants and bars next to the beach just 10min of walking distance from the hotel.,"The receptionist didn't speak English properly, and you have a feeling that people are living in the hotel, rather than staying at a hotel. You can hear the airplanes coming and leaving from the airport all the time, so if you are sensitive to the sounds around you and at night, better to skip this hotel and choose a different one.",8.0,Bosnia and Herzegovina,Double Room,1,2022-11-01,Couple,,44,0,207,333,8.0,No,5,5,5
"Friendly, family run hotel with excellent kitchen","Second visit - Chose really because it was reasonably close to the Airport for an early morning flight, yet could have a stroll along the nearby beach.
The staff make it - particularly reception and the dining room.","Nothing really, though for a stay for more than a few days - it is a bit on the edge of Larnaca - with frequent busses to the centre.",9.0,United Kingdom,Double Room with Balcony,1,2022-12-01,Couple,,49,0,215,133,9.0,No,5,5,5
Great hotel with great food!,"I liked the rooms- they are spacious, clean, the window view is nice too. The restaurant downstairs is amazing- the food there is very very tasty and made with a lot of care- they care a lot about the details: olive oil galore, herbs- absolutely delicious!",,10.0,United Kingdom,Double Room with Balcony,7,2022-11-01,Group,,28,0,256,0,10.0,Yes,3,5,1
Clean and cozy hotel with very friendly owner close to sandy beach and the airport.,The owner and staff were exceptionally friendly and supportive and helped with all our wishes.  Our room had a balcony with great view of the sea and surrounding area.,-,10.0,Germany,Double Room with Balcony,1,2022-11-01,Couple,,83,0,167,1,10.0,Yes,5,5,1
"Friendly, well run family hotel","A family run hotel, with extremely friendly reception and dining staff, very bright, nice seating areas inside and out. Meals well prepared and good value. Bus every 20 minutes to the centre of Larnaka.","Nothing, considering the price",9.0,United Kingdom,Double Room with Balcony,1,2022-11-01,Couple,,31,0,202,30,9.0,Yes,4,5,3
Nice hotel close to the airport,Close to airport,,8.0,Finland,Double Room with Balcony,1,2022-10-01,Couple,,31,0,16,0,8.0,Yes,4,2,1
Exceptional,"location, clean, friendly stuff",,10.0,Israel,Budget Twin Room,4,2022-11-01,Solo,,11,0,31,0,10.0,Yes,2,4,1
Amazing place and amazing people in this hotel.  highly recommended!,"The hotel is impressive how clean nice and comfortable it is, however what will bring me back is the staff and the owners.  Richard (the chef) is personally buying super fresh food for the restaurant.  Everything from breakfast to dinner is absolutely delicious. The owners have been super kind to me :)",,10.0,Netherlands,Double Room with Balcony,4,2022-11-01,Solo,,68,0,303,0,10.0,Yes,5,5,1
Would stay again for sure 😊,"Room was perfect, looked new, clean shiny tiled floors and bathroom tiles, just every inch perfect and clean. Bed was really comfortable, lots of room for me to put my things... although might have needed another set of drawers if there were two of us.","Fridge could have been put on beforehand so it was cold, the shower took a while to get hot, had to have a cold shower one morning as i needed to get out early. When you left it running for around 5 mins it got warm and was a good shower.
Ordered pizza one night and was not great, too stodgy but I'm sure other food is better. The restaurant area is nice and the staff very accomodating.",9.0,United Kingdom,Double Room with Balcony,2,2022-11-01,Solo,,27,0,252,388,9.0,Yes,3,5,5
"Great stay, would recommend .",the beds were very comfortable,,9.0,Italy,Two-Bedroom Suite,1,2022-11-01,Family,,29,0,30,0,9.0,Yes,3,3,1
Exceptional,I loved the mattress!!!,,10.0,Greece,Double Room,1,2022-11-01,Family,,11,0,23,0,10.0,Yes,2,3,1
Exceptional,Clean and quiet,,10.0,Hungary,Budget Twin Room,1,2022-11-01,Family,,11,0,15,0,10.0,No,2,2,1
Great stay,"The hotel is 5 minutes from the beach and the location is also near the lake.
The rooms are a good size and are laid out very well with a good size bathroom
The room also has a great sized balcony to take a tea/coffee and 
chill
There is a great restaurant inside where the food is good and not to pricey. 
The staff are super wonderful really friendly all of them the receptionist Maria is so nice she's amazing 
Keep up the great work 👍🏼🙏",Leaving..in fact just re booked the hotel for 2 weeks time 😁,10.0,Thailand,Double Room with Balcony,1,2022-11-01,Family,"Thank you very much for your nice words, we really appreciate your review. we are happy that you had a great stay at the hotel and happy to see you again on December :)",10,168,440,60,10.0,Yes,1,5,5
Thoroughly satisfied with our choice of hotel,"so comfortable, clean, friendly staff. perfect for overnight stay before flying from Larnaca Airport.",nothing.,10.0,Cyprus,Double Room with Balcony,1,2022-11-01,Couple,,45,0,101,8,10.0,Yes,5,5,1
Wonderful,Staff is very polite and caring. Thank you,Surrounding buildings are under construction and poorly lit.,9.0,Armenia,Double Room,1,2022-11-01,Family,,9,0,42,60,9.0,Yes,1,5,5
Staff was wonderful. very accommodating and the food service and quality was very good. this was our second stay.,very clean functional rooms. lovely and very helpful staff.,I would have liked an ironing board in the room.,9.0,United States of America,Double Room with Balcony,1,2022-11-01,Couple,,113,0,59,48,9.0,No,5,5,5
A lovely hotel,Staff were lovely. Service was great.  The room was spotless. Great location for restaurants. Great location for a short drive to the airport.,Not applicable,10.0,United Kingdom,Double Room,1,2022-11-01,Couple,,14,0,142,14,10.0,No,2,5,2
Nice vibe,"Clean, comfortable, friendly staff. Great restaurant beneath the hotel - food excellent & reasonably priced. Very close to Mackenzy beach & Larnaca airport. We would definitely stay there again",All good,10.0,United Kingdom,Double Room with Balcony,2,2022-11-01,Couple,,9,0,193,8,10.0,No,1,5,1
Exceptional,The bed was great. Rooms clean. Staff were so kind.,Nothing.,10.0,Canada,Double Room with Balcony,2,2022-11-01,Solo,,11,0,51,8,10.0,No,2,5,1
Highly recommend these apartments.,"Very helpful staff, super clean room with modern furniture all together make your stay max comfortable. Sure worth it to come back again.
Option to have a good breakfast within the hotel save your time.
Highly recommend these apartments.",Little bit noisy during evening time from the street side. I believe it doesn't disturb you in case you choose the garden view apartments or just close the windows and start the air conditioning ),10.0,Ukraine,Double Room with Balcony,4,2022-11-01,Solo,,34,0,237,196,10.0,Yes,4,5,5
Group of 5 stayed for 2 night. room was spacious and the beds were comfortable. ideal location as close to the airport a,"welcoming 
value for money 
location",more hooks on walls for towels etc.,8.0,United Kingdom,Suite with Balcony,2,2022-11-01,Group,,120,0,36,35,8.0,No,5,4,4
Very good,,"There was a problem with heating water at that time and we can understand, but eventually we couldn't manage to have a proper shower with hot water.",8.0,Cyprus,Double Room,1,2022-11-01,Family,,9,0,0,148,8.0,Yes,1,1,5
"We were on 4 days stop over, if on main holiday would book a larger hotel","When we arrived, we were surprised at the location in a small side street, but it was only a 10-minute walk to the sea front. The receptionist on check in was very good and explained the information very clearly to us. The room was smaller than I expected but as we were only there a few days it was acceptable. I am very fussy about beds and pillows, but I had no problem as they were very clean, and the bed was really comfortable.
The chef was very polite, and his food was excellent, he had passion and it showed in his presentation. We may have missed it but there was no opening and closing times of the bar on display.",Nothing except not showing opening times.,8.0,Cyprus,Budget Twin Room,4,2022-10-01,Couple,,73,0,625,41,8.0,No,5,5,5
Perfect if you are looking for somewhere close to larnaca airport,"Really clean ,  lovely caring staff. food was good too!",Nothing really. The bus to the airport is close by and runs every 15 minutes.,9.0,United Kingdom,Double Room with Balcony,1,2022-11-01,Couple,,65,0,55,77,9.0,No,5,5,5
Perfect location prior to our early morning flight,great rooms - nice and cool,,10.0,United Kingdom,Two-Bedroom Suite,1,2022-11-01,Group,,50,0,27,0,10.0,Yes,5,3,1
Very good,It was really clean and spacious,,8.0,Turkey,Two-Bedroom Suite,1,2022-10-01,Solo,,9,0,32,0,8.0,No,1,4,1
"The room was bijou but for the money, served it’s purpose adequately 😀","Nice location, not far from Airport and Mackenzie beach.","My only real observation was that there was no net curtain or blind so one needed to ensure that the curtain was closed, especially when going for a shower as the room is opposite some apartments that have a clear view into the room!",8.0,Portugal,Double Room with Balcony,3,2022-10-01,Solo,,70,0,56,233,8.0,Yes,5,5,5
Lovely place to stay close to the beach,"Super friendly and helpful staff. A good location 5 lins away from the airport by car, 5 mins walk to the beach. Clean modern rooms, very nice breakfast.","It is typical of all restaurants in the area - the kitchen shuts at 22:30 or so, and there is no food to be had afterwards. I would just flag that ahead of time in the welcome email to those arriving from the UK (most early afternoon flights land after 23:00) and have something like nuts / chips available to buy on arrival.",9.0,United Kingdom,Double Room with Balcony,1,2022-10-01,Couple,,39,0,153,325,9.0,Yes,4,5,5
Exceptional,hospitality,clean,10.0,Lebanon,Double Room with Balcony,5,2022-10-01,Solo,,11,0,11,5,10.0,Yes,2,2,1
Very good,clean spacious practical,,8.0,United Kingdom,Double Room,1,2022-10-01,Solo,,9,0,24,0,8.0,Yes,1,3,1
Very good,"The facilities were really good, particularly for the tariff charged. Was met with a warm welcome at reception and then again by the dining staff.","Outside was a but noisy later in the evening, but that's not within the hotels control",8.0,United Kingdom,Double Room with Balcony,1,2022-10-01,Solo,,9,0,146,86,8.0,Yes,1,5,5
Freshly renovated and great,"Recently updated, everything was me and clean. Restaurant was a surprise hit: good food, very reasonably priced, so an easy choice to eat at the hotel when we wouldn't usually. The beach is about 5 minutes walk away.","There is a bit of plane noise in the afternoon and evening because it is right near the takeoff end of the runway, but next to no departures in the morning, so not a problem",10.0,Ireland,Two-Bedroom Suite,1,2022-10-01,Family,,27,0,216,173,10.0,Yes,3,5,5
Exceptional,Great value for money,,10.0,Israel,Double Room with Balcony,1,2022-10-01,Couple,,11,0,21,0,10.0,No,2,3,1
Wonderful,very helpful staff who organised a taxi to collect us in the morning. Good value for money.,,9.0,United Kingdom,Double Room,1,2022-10-01,Group,,9,0,91,0,9.0,No,1,5,1
Grear option near the airport,"Clean and comfortable rooms, lovely owner",,9.0,Switzerland,Two-Bedroom Suite,1,2022-10-01,Family,,29,0,41,0,9.0,No,3,5,1
Great location close to airport and sea,Great location close to the airport and a short walk to the sea. Great value for money. The 2 rooms were big enough for a family of 5.,,9.0,Israel,Two-Bedroom Suite,1,2022-10-01,Family,,39,0,134,0,9.0,No,4,5,1
Exceptional,Great little hotel close to airport,Not very Soundproof,10.0,Cyprus,Double Room,1,2022-10-01,Family,,11,0,35,19,10.0,No,2,4,2
Very good,"Near airport, nice clean room, very well kept. staff very helpful and friendly. good food",,10.0,United States of America,Two-Bedroom Suite,1,2022-10-01,Group,,9,0,89,0,10.0,Yes,1,5,1
Exceptional,Everything was good❤❤❤❤,Nothing,10.0,Austria,Double Room with Balcony,1,2022-10-01,Family,,11,0,23,7,10.0,Yes,2,3,1
Exceptional,"nice, renovated hotel, close to the airport and Mackenzie Beach, delicious breakfasts in the hotel restaurant, comfortable bed",,10.0,Poland,Double Room,2,2022-10-01,Solo,,11,0,126,0,10.0,Yes,2,5,1
Exceptional,Very nice and clean room.,,10.0,Cyprus,Double Room with Balcony,1,2022-10-01,Family,,11,0,25,0,10.0,Yes,2,3,1
Good for 1 night,Good for airport transfers,A lot of mosquitos,9.0,Cyprus,Double Room with Balcony,1,2022-09-01,Couple,,16,0,26,18,9.0,Yes,2,3,2
Exceptional,"Perfect place to stay for early morning / late night flights as it’s situated within 5 minutes from the airport. 
beds are extremely comfortable and amazing hospitality from the staff.","given that a lot of guests book here for its prime location near the airport, it would’ve been great if breakfast started at 7 rather than 8. but that’s just a suggestion, everything was perfect
for one nights stay.",10.0,Belgium,Double Room with Balcony,1,2022-10-01,Solo,,11,0,184,215,10.0,Yes,2,5,5
"Comfortable, clean, friendly place","Very clean, very comfortable room. Staff was extremely helpful. They ordered a taxi for us to get to the airport very early in the morning. We were able to enjoy a very nice, short walk to the beach where there were many restaurants available to choose from. We will definitely stay here again when we come back to Larnaca.",,10.0,United States of America,Double Room with Balcony,1,2022-10-01,Couple,,34,0,323,0,10.0,Yes,4,5,1
Very good,"Close to the airport, the staff were nice and helpful.",The room wasn't soundproof so you can hear the planes.,8.0,Israel,Double Room with Balcony,1,2022-10-01,Family,,9,0,54,54,8.0,Yes,1,5,5
Very nice and good value for money,Close to airport so very convenient for overnight stay. Also very easy to check-in if you arrive late at night,N/a,8.0,United Kingdom,Two-Bedroom Suite,1,2022-10-01,Family,,34,0,110,3,8.0,Yes,4,5,1
Lovely hotel,Arrived in the early hours clear instructions left access to our room made easy 😊,,10.0,United Kingdom,Double Room with Balcony,1,2022-09-01,Family,,12,0,81,0,10.0,Yes,2,5,1
Excellent arrangements made to cope with midnight arrival,Excellent range of food offered and good service.,no issues for overnight stay,8.0,United Kingdom,Double Room,1,2022-10-01,Couple,,57,0,49,28,8.0,Yes,5,5,3
Convenient  night near airport,"Comfortable location near the airport, and near the beach.
Caring and helpful host.
Restaurant on site
Comfortable beds, the best linen and duvets I had
 in my entire 10 day trip.
In room mini bar+ tea/ coffee 
Clean modern bathroom.
Good AC.","We liked La Veranda
Our son had a folding bed which could have been better, especially considering how comfortable the regular beds were.",9.0,Israel,Standard Triple Room,1,2022-10-01,Family,,30,0,242,137,9.0,Yes,3,5,5
Was by far too short.i’ll be back in february. please don’t change anything in the meantime!,It’s been renovated to a exceptionally high standard and it really is well up to 4* standard. Exceptional value .,I cannot find a single negative point…which is unusual. Having spent 45 years travelling as part of work I am perhaps over critical.,10.0,United Arab Emirates,Budget Twin Room,2,2022-10-01,Solo,,92,0,113,132,10.0,Yes,5,5,5
Cosy new hotel near the airport,"We were looking for the hotel close to the airport, and it was a perfect match. The hotel is located in a close proximity to the airport (5 min by car or 10 min by bus). We arrived late and were super hungry, so we decided to eat in the place at the ground floor. Even though the kitchen was closing, they made us a pizza which was really nice. The room was new and clean, the staff reached out in advance and provided us with the detailed instructions of how to get to the room when reception closes.","If you are looking for a quiet stay, you should be aware that the hotel is really close to the airport, so you can hear all the noise from the planes.",10.0,Israel,Double Room,1,2022-10-01,Couple,,31,0,501,150,10.0,Yes,4,5,5
Would definitely be staying here again. planning more trips to cyprus and this is among our first choices of stay,"The property was clean, bed was comfortable and the food and staff were really good. Location was great and easy to get to and from.",n/A,10.0,United Kingdom,Double Room with Balcony,9,2022-10-01,Couple,,113,0,132,3,10.0,No,5,5,1
Le veranda a welcome rest and refresh,"The location was perfect for the airport as we were flying out to uk. The entrance to the hotel is welcoming and the bar and coffee shop chic.
The gentleman  in reception was very friendly and had a lovely smile. 
The place was spotless and very comfortable. 
I would definitely recommend it and will be staying here again.
The fish and steak restaurant around the corner was also great value and friendly.",,9.0,Cyprus,Double Room,1,2022-10-01,Couple,,37,0,406,0,9.0,Yes,4,5,1
Amazing,friendly staff,nothing so far,8.0,Qatar,Budget Twin Room,2,2022-10-01,Solo,,7,0,14,14,8.0,Yes,1,2,2
Exceptional,"Friendly, good value, clean",,10.0,United Kingdom,Double Room,1,2022-10-01,Solo,,11,0,27,0,10.0,Yes,2,3,1
Exceptional,"The place and the people are lovely, I couldn't ask for more during my stay especially with such a price.",,10.0,Lebanon,Double Room with Balcony,1,2022-09-01,Couple,,11,0,105,0,10.0,Yes,2,5,1
Holiday,Peaceful and clean friendly helpful staff,Nothing,10.0,United Kingdom,Double Room with Balcony,3,2022-10-01,Family,,7,0,41,7,10.0,Yes,1,5,1
Direct bus access to the airport,"We arrived after midnight. Got very clear instructions how to get access to our room. The staff of the hotel is extremely friendly and nice.
The bus stop with direct access to the airport is a few steps from the accommodation. the airport can be reached in a few minutes. at the same time, Mackenzie beach is also easily accessible on foot.","there is no shop or pharmacy in the area, but the accommodation cannot do anything about this. overall, we are extremely satisfied.",10.0,Hungary,Double Room,2,2022-09-01,Couple,,32,0,340,131,10.0,Yes,4,5,5
Wonderful,I arrived late. I received very clear instructions how to enter the hotel and access my room.,,9.0,Lebanon,Double Room,1,2022-10-01,Solo,,9,0,93,0,9.0,No,1,5,1
Exceptional,Lovely staff doing best to assist always. wonderful room.,,10.0,Denmark,Double Room with Balcony,1,2022-09-01,Solo,,11,0,57,0,10.0,Yes,2,5,1
Excellent stay,"The hotel is based on a quiet place near to the airport, beach and the Salt Lake in the city. The location is excellent, as there are lots of parking places around, as well. Regarding the rooms - very clean and cozy ones, with comfortable beds. Furthermore, there is a restaurant in the hotel with delicious food. The staff of the hotel is extremely friendly and nice.",-,10.0,Bulgaria,Double Room,1,2022-09-01,Couple,,14,0,368,1,10.0,No,2,5,1
Very good,,Disappointed we didn't have a balcony,8.0,Cyprus,Double Room,1,2022-10-01,Couple,Thank you for your comment.  we have options of rooms with and without balcony. You choose the room without balcony in your reservation and we provided you the appropriate room accordingly.,9,189,0,37,8.0,Yes,1,1,4
"Nice, clean hotel, efficient and respectful staff",Feels new and clean with perfect location nearby the beach 🏖,,10.0,Jordan,Double Room with Balcony,1,2022-10-01,Solo,,49,0,60,0,10.0,No,5,5,1
Exceptional,The staff is very VERY helpful and eager to assist. All went amazing!,we’d love to stay longer 🥲,10.0,Belarus,Double Room with Balcony,3,2022-10-01,Solo,,11,0,69,26,10.0,No,2,5,3
Perfect,"Nice friendly staff. clean, nice room, big bathroom",nothing,10.0,United Kingdom,Standard Triple Room,1,2022-10-01,Family,,7,0,51,7,10.0,Yes,1,5,1
Exceptional,New clean setup with friendly helpful staff,All good,10.0,United Arab Emirates,Double Room with Balcony,4,2022-10-01,Family,,11,0,43,8,10.0,Yes,2,5,1
High quality/price ratio.,"It is a new hotel. Everything was clean. 
We had dinner. It was delicious and inexpensive. 
Mc Kenzie Beach within walking distance.",,9.0,Netherlands,Budget Twin Room,1,2022-09-01,Couple,,25,0,132,0,9.0,Yes,3,5,1
"Quaint, clean, comfortable bright room with great wifi and ac.",Close to the airport and clean spacious rooms.,No 24 hour reception so not easy to access entry at odd hours.,8.0,United Kingdom,Two-Bedroom Suite,1,2022-09-01,Group,,62,0,46,62,8.0,No,5,5,5
Everything perfect,"Amazing staff 
super clean 
modern 
great location",,10.0,United States of America,Double Room with Balcony,1,2022-09-01,Couple,,18,0,50,0,10.0,Yes,2,5,1
Wonderful,Stuff was very nice and friendly. Room was clean and comfortable.,The location was a little bit far from the centre.,9.0,Armenia,Double Room,3,2022-09-01,Couple,,9,0,65,50,9.0,Yes,1,5,5
My stay was very good and i most certainly will go back to this hotel again when i go to larnaca,"The breakfast was very good plenty of selection and very good staff serving you as a values customer and so very polite and caring at all times. Could not seem to do enough for their guests, Every thing was spotless clean in the breakfast room","The only thing was they did not a have pool, but however had plenty of chairs to sot on outside in the garden which also was spotlessly clean everywhere too.",10.0,United Kingdom,Double Room with Balcony,9,2022-09-01,Solo,,96,0,243,157,10.0,Yes,5,5,5
Very good,"Good food in the restaurant downstairs, friendly personnel",The room wasn't clean when we checked in. So they finished the cleaning after our complaint,8.0,Slovakia,Double Room with Balcony,7,2022-08-01,Family,"Thank you for your comments; actually the check-in time at the hotel is 2pm. You told us that you plan to arrive at 11 AM, we tried to make the room ready upon your arrival but  this depends on the check-out  of the guest occupying the room before you, as the check-out time is 12pm.  We are sorry we couldn’t satisfy you in this matter.",9,337,58,91,8.0,Yes,1,5,5
Wonderful,,Lovely little hotel with very friendly staff. Breakfast was excellent.,9.0,United Kingdom,Double Room with Balcony,1,2022-09-01,Couple,,9,0,0,70,9.0,Yes,1,1,5
Nice stay,"Super friendly staff, nice restaurant.",,10.0,United Kingdom,Double Room,1,2022-09-01,Solo,,9,0,38,0,10.0,Yes,1,4,1
Exceptional,Clean comfortable little hotel. Lovely friendly staff. Good location and easily reached from the airport.,Nothing. It was perfect for my stay.,10.0,United Kingdom,Double Room with Balcony,1,2022-09-01,Solo,,11,0,105,36,10.0,Yes,2,5,4
"Clean, friendly, great price","We had a horrible 4am arrival, instructions for access were sent in advance and absolutely perfect. In a clean, comfortable bed within minutes of arrival.",N/a,10.0,United Kingdom,Budget Twin Room,1,2022-09-01,Family,,28,0,154,3,10.0,Yes,3,5,1
Very comfortable,"position,staff and very clean",parking not always easy,10.0,United Kingdom,Budget Twin Room,1,2022-09-01,Couple,,16,0,29,23,10.0,Yes,2,3,3
We arrived really late at night and the bar stayed open and even made us some food .,"Close to Larnaca airport. 
Very nice rooms that were very clean. 
helpful, friendly staff.",,10.0,United Kingdom,Double Room with Balcony,1,2022-09-01,Couple,,84,0,90,0,10.0,Yes,5,5,1
Very good,"we did late night check in, that was super easy and comfortable",it was a bit badly soundproofed,8.0,Germany,Budget Twin Room,1,2022-09-01,Couple,,9,0,63,31,8.0,Yes,1,5,4
Very clean and welcoming place to wait for your coming flight,"New room, very comfortable. Nice restaurant in the same building very welcoming with nice offer. Bus stop for the airport walkable.
Francais parlé parfaitement",The location of the place is more a waiting position for your next flight at the Larnaka airport than a beach stay.,8.0,France,Double Room with Balcony,1,2022-09-01,Family,,61,0,159,115,8.0,Yes,5,5,5
Exceptional,"The best hotel at Mackenzie! Amazing staff, modern facility and very tasty food with a super service at the restaurant by the hotel.",,10.0,Russia,Double Room with Balcony,2,2022-06-01,Solo,,11,0,132,0,10.0,No,2,5,1
"Great value, clean and comfy airport hotel - would recommend",clean and quiet - perfect location for the airport,,9.0,United Kingdom,Double Room with Balcony,1,2022-09-01,Couple,,60,0,50,0,9.0,Yes,5,5,1
Very cute,"the staff is very nice, the room is very comfortable.",some of the towels were dirty,9.0,Israel,Double Room with Balcony,1,2022-09-01,Couple,,9,0,53,29,9.0,Yes,1,5,3
Wonderful,"The food we had was excellent, service was excellent we will go back.",,9.0,United Kingdom,Double Room with Balcony,11,2022-09-01,Couple,,9,0,69,0,9.0,Yes,1,5,1
Wonderful,"We used the hotel only for one night because it is close to the airport. but i must admit the location offers some nice places for at least a two-nights stay for sure. The nearby beach (mackenzie) is nice, long, with some cool and fancy bars. there is also the salt lake which I wished to visit but didn't have time. The Hotel itself was very nice, spacious, clean and modern. Only thing I didn't like were the blankets - too thick for this incredible hot hot hot weather.",,9.0,Czech Republic,Budget Twin Room,1,2022-09-01,Solo,,9,0,472,0,9.0,Yes,1,5,1
Worth it!!!,very clean and the staff was wonderful,...,8.0,Italy,Double Room with Balcony,1,2022-09-01,Couple,,11,0,38,3,8.0,Yes,2,4,1
It was incredible!,"really clean, exceptional staff, incredibly polite, highly recommend",,10.0,Bulgaria,Double Room with Balcony,3,2022-09-01,Couple,,18,0,68,0,10.0,No,2,5,1
Absolutely loved my stay at la veranda. the location was perfect.,The staff were very hospitable and very helpful.,The cupboards/wardrobes need doors and they should be drawers in the room to keep the rooms tidy.,9.0,United Kingdom,Double Room,9,2022-08-01,Group,,65,0,48,97,9.0,Yes,5,5,5
Pleasant stay!,"Nice modern and clean rooms. The location is excellent close to Airport, Makenzie  beach and touristic area, and bus stop going from Airport to town is few meters away. Very friendly staff.
Highly recommended.",Nothing,10.0,Lebanon,Double Room,1,2022-09-01,Couple,,14,0,209,7,10.0,Yes,2,5,1
Very good,"The room was recently refurbished and very spatious. Nice view of the salt lake by the terrace.
Sinks and toilette separated by a door inside the bathroom.",No soap or shampoo in the shower. There was hand soap instead.,8.0,Italy,Suite with Balcony,1,2022-08-01,Group,,9,0,155,62,8.0,Yes,1,5,5
Exceptional,"Quiet place, good rooms",,10.0,Ukraine,Double Room with Balcony,1,2022-09-01,Family,,11,0,23,0,10.0,No,2,3,1
Short&sweet,"We only stayed for a night but we were super happy with our stay at the La Veranda Hotel. The staff was super nice, the rooms were very clean and the bathroom was spacious.",I liked everything about the property,10.0,Serbia,Double Room,1,2022-09-01,Couple,,11,0,172,37,10.0,No,2,5,4
Accommodation in a residential area near the airport,We used the accommodation for one night before departure. The advantage is the proximity to the airport—very comfortable beds.,"The hotel staff should learn better English - confusing the term ""fridge"" and ""freezer"" can be fatal for a person with diabetes. The team froze our insulin, meaning it was unusable. Luckily we flew home the next day. If it happened before the holidays, we've got the entertainment covered.",9.0,Czech Republic,Two-Bedroom Suite,1,2022-09-01,Family,,52,0,126,289,9.0,No,5,5,5
Freshly redocorated hotel with large rooms and very convenient for the airport.,Rooms large and newly redecorated in a contemporary style. Bed very comfortable. Very convenient for the airport. Breakfast was excellent.,Nothing,9.0,Cyprus,Double Room with Balcony,1,2022-09-01,Couple,,79,0,138,7,9.0,No,5,5,1
